HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457410.81374,2016-01-23.3098906,bb,1.76,16.046,15.192,0.100,3.215,0.293,V
2457413.91061,2016-01-26.4069900,bb,1.78,16.289,14.998,0.067,3.844,0.234,V
2457413.91186,2016-01-26.4082415,bb,1.76,16.265,15.074,0.073,3.584,0.240,V
2457413.91312,2016-01-26.4095078,bb,1.81,16.358,15.075,0.067,3.579,0.220,V
2457414.81043,2016-01-27.3068834,bb,1.82,16.617,15.063,0.052,3.619,0.173,V
2457414.81168,2016-01-27.3081343,bb,1.84,16.578,15.104,0.056,3.487,0.180,V
2457414.81294,2016-01-27.3093873,bb,1.70,16.562,15.041,0.054,3.694,0.182,V
2457416.78811,2016-01-29.2847097,bb,2.03,16.838,15.017,0.041,3.778,0.142,V
2457416.78936,2016-01-29.2859625,bb,2.04,16.926,14.996,0.037,3.850,0.131,V
2457416.79062,2016-01-29.2872265,bb,2.03,16.859,14.949,0.038,4.021,0.139,V
2457419.84568,2016-02-01.3425246,bb,1.72,16.945,15.014,0.037,3.788,0.128,V
2457419.84693,2016-02-01.3437788,bb,1.69,16.893,14.992,0.038,3.864,0.134,V
2457419.84817,2016-02-01.3450192,bb,1.77,16.915,14.987,0.037,3.882,0.132,V
2457421.84839,2016-02-03.3454013,bb,1.71,16.904,15.058,0.040,3.639,0.133,V
2457421.84964,2016-02-03.3466525,bb,1.76,16.828,15.038,0.042,3.702,0.143,V
2457422.79335,2016-02-04.2904398,bb,1.70,16.781,14.973,0.041,3.934,0.149,V
2457422.79459,2016-02-04.2916835,bb,1.60,16.864,14.978,0.038,3.913,0.138,V
2457422.79586,2016-02-04.2929469,bb,1.66,16.845,15.061,0.042,3.624,0.141,V
2457423.84369,2016-02-05.3408684,bb,1.73,16.592,15.000,0.050,3.838,0.177,V
2457423.84460,2016-02-05.3417759,bb,1.62,16.480,14.989,0.055,3.876,0.197,V
2457423.84550,2016-02-05.3426800,bb,1.70,16.550,14.914,0.048,4.152,0.184,V
2457428.87095,2016-02-10.3685729,bb,1.66,16.782,15.054,0.045,3.648,0.149,V
2457428.87220,2016-02-10.3698159,bb,1.76,16.867,15.019,0.040,3.768,0.138,V
2457428.87346,2016-02-10.3710766,bb,1.78,16.795,15.005,0.042,3.818,0.147,V
2457437.84850,2016-02-19.3469456,bb,1.78,16.206,15.149,0.083,3.344,0.253,V
2457437.84975,2016-02-19.3482017,bb,1.99,16.154,14.959,0.073,3.984,0.265,V
2457437.85101,2016-02-19.3494554,bb,1.87,16.162,15.052,0.079,3.655,0.263,V
2457440.82816,2016-02-22.3268880,bb,2.01,16.064,14.945,0.078,4.036,0.288,V
2457440.82940,2016-02-22.3281288,bb,2.04,16.029,15.015,0.086,3.784,0.298,V
2457440.83064,2016-02-22.3293671,bb,2.01,16.174,15.124,0.083,3.423,0.260,V
2457442.78655,2016-02-24.2854715,bb,2.08,16.177,14.983,0.073,3.898,0.260,V
2457442.78780,2016-02-24.2867166,bb,2.08,16.423,15.064,0.063,3.618,0.207,V
2457442.78906,2016-02-24.2879793,bb,2.08,16.379,15.320,0.083,2.858,0.216,V
2457445.82132,2016-02-27.3205387,bb,1.80,16.784,14.995,0.042,3.853,0.149,V
2457445.82258,2016-02-27.3217958,bb,1.78,16.757,14.915,0.040,4.152,0.153,V
2457445.82383,2016-02-27.3230422,bb,1.82,16.783,15.061,0.045,3.628,0.149,V
2457447.79087,2016-02-29.2902791,bb,1.71,16.944,15.047,0.038,3.674,0.128,V
2457447.79211,2016-02-29.2915201,bb,1.77,16.861,14.997,0.039,3.844,0.139,V
2457447.79337,2016-02-29.2927737,bb,1.78,16.921,15.035,0.038,3.716,0.131,V
2457449.77043,2016-03-02.2700300,bb,1.71,16.849,14.958,0.038,3.987,0.140,V
