HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460133.85046,2023-07-08.3481011,bC,1.47,17.068,14.902,0.030,3.977,0.108,g
2460133.85171,2023-07-08.3493466,bC,1.40,17.043,14.935,0.031,3.857,0.111,g
2460133.88379,2023-07-08.3814258,bs,1.48,16.435,14.741,0.046,4.610,0.194,g
2460133.88528,2023-07-08.3829208,bs,1.46,16.430,14.861,0.052,4.126,0.195,g
2460133.88677,2023-07-08.3844040,bs,1.51,16.456,14.969,0.056,3.739,0.190,g
2460134.76077,2023-07-09.2584346,bs,1.46,16.867,14.466,0.024,5.939,0.132,g
2460134.76224,2023-07-09.2599109,bs,1.45,16.787,14.423,0.025,6.179,0.142,g
2460134.76374,2023-07-09.2614012,bs,1.47,16.813,14.455,0.025,5.999,0.138,g
2460135.89198,2023-07-10.3896843,bs,1.44,16.551,14.417,0.031,6.211,0.176,g
2460135.89348,2023-07-10.3911792,bs,1.42,16.566,14.537,0.034,5.562,0.173,g
2460135.89495,2023-07-10.3926502,bs,1.45,16.517,14.479,0.033,5.868,0.181,g
2460136.88277,2023-07-11.3805040,bC,1.67,13.886,>13.886,99.990,3.548,2.026,g
2460136.88402,2023-07-11.3817548,bC,1.61,14.562,>14.562,99.990,5.255,1.087,g
2460136.88529,2023-07-11.3830175,bC,1.50,14.503,>14.503,99.990,2.649,1.148,g
2460137.90547,2023-07-12.4032362,bC,1.54,16.931,14.443,0.022,6.061,0.123,g
2460137.90670,2023-07-12.4044686,bC,1.75,16.906,14.440,0.022,6.079,0.126,g
2460137.90797,2023-07-12.4057267,bC,1.73,16.893,14.479,0.024,5.870,0.128,g
2460137.92089,2023-07-12.4186534,bC,1.67,16.891,14.458,0.023,5.980,0.128,g
2460137.92215,2023-07-12.4199143,bC,1.64,16.899,14.479,0.023,5.866,0.127,g
2460137.92341,2023-07-12.4211787,bC,1.61,16.921,14.488,0.023,5.819,0.124,g
2460139.93334,2023-07-14.4311716,bC,1.83,16.894,14.471,0.023,5.909,0.127,g
2460139.93459,2023-07-14.4324182,bC,2.01,16.860,14.441,0.023,6.074,0.132,g
