HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459552.87767,2021-12-04.3735653,bq,1.55,16.057,12.980,0.013,23.320,0.284,g
2459552.87890,2021-12-04.3747990,bq,1.50,16.028,12.952,0.013,23.937,0.292,g
2459554.69560,2021-12-06.1915377,br,1.46,16.184,13.031,0.012,22.268,0.253,g
2459554.69684,2021-12-06.1927738,br,1.46,16.185,13.030,0.013,22.289,0.256,g
2459554.69808,2021-12-06.1940156,br,1.47,16.184,13.020,0.013,22.488,0.259,g
2459556.89134,2021-12-08.3873347,br,1.40,99.990,99.990,99.990,99.990,99.990,g
2459556.89258,2021-12-08.3885756,br,1.41,99.990,99.990,99.990,99.990,99.990,g
2459556.89384,2021-12-08.3898200,br,1.53,14.567,13.195,0.063,19.151,1.098,g
2459557.56410,2021-12-09.0601067,bq,1.61,15.985,13.016,0.015,22.565,0.303,g
2459557.56534,2021-12-09.0613334,bq,1.60,16.007,13.008,0.014,22.750,0.297,g
2459557.56658,2021-12-09.0625787,bq,1.59,15.970,12.979,0.014,23.362,0.308,g
2459557.58646,2021-12-09.0824549,bq,1.53,15.952,13.010,0.015,22.706,0.310,g
2459557.58770,2021-12-09.0837002,bq,1.56,15.982,13.022,0.014,22.457,0.302,g
2459557.58895,2021-12-09.0849475,bq,1.48,16.030,13.012,0.014,22.669,0.289,g
2459562.70733,2021-12-14.2034759,bq,1.53,15.802,13.035,0.017,22.191,0.353,g
2459562.70857,2021-12-14.2047152,bq,1.53,15.870,13.003,0.016,22.834,0.334,g
2459562.70981,2021-12-14.2059515,bq,1.55,15.858,12.994,0.016,23.048,0.338,g
2459563.82616,2021-12-15.3223532,bq,1.59,15.644,13.020,0.019,22.488,0.408,g
2459563.82740,2021-12-15.3235903,bq,1.52,15.635,12.946,0.018,24.089,0.414,g
2459563.82865,2021-12-15.3248285,bq,1.52,15.595,13.013,0.020,22.627,0.429,g
2459565.73946,2021-12-17.2357127,bB,2.28,15.752,13.031,0.019,22.250,0.375,g
2459565.74073,2021-12-17.2369766,bB,2.28,15.756,12.971,0.018,23.541,0.376,g
2459565.74200,2021-12-17.2382457,bB,2.23,15.824,13.044,0.018,22.002,0.357,g
2459565.74325,2021-12-17.2394959,bB,2.26,15.761,13.051,0.019,21.853,0.377,g
2459565.74451,2021-12-17.2407587,bB,2.23,15.723,12.979,0.018,23.352,0.388,g
2459565.74578,2021-12-17.2420253,bB,2.24,15.767,13.062,0.019,21.637,0.373,g
2459568.73737,2021-12-20.2337222,bq,1.53,15.568,13.039,0.022,22.106,0.443,g
2459568.73862,2021-12-20.2349746,bq,1.64,15.608,13.018,0.020,22.537,0.425,g
2459568.73986,2021-12-20.2362245,bq,1.56,15.581,13.073,0.022,21.412,0.434,g
2459570.76783,2021-12-22.2642696,bq,1.57,15.693,13.012,0.018,22.662,0.390,g
2459571.77159,2021-12-23.2680730,bq,1.53,15.866,13.044,0.016,21.995,0.336,g
2459571.77282,2021-12-23.2693020,bq,1.49,15.852,12.988,0.016,23.170,0.340,g
2459571.77406,2021-12-23.2705391,bq,1.48,15.808,12.988,0.016,23.164,0.354,g
2459575.72449,2021-12-27.2211356,bq,1.51,16.067,13.004,0.013,22.825,0.280,g
2459575.72572,2021-12-27.2223726,bq,1.53,16.111,12.993,0.012,23.057,0.270,g
2459575.72697,2021-12-27.2236179,bq,1.53,16.080,13.009,0.013,22.723,0.276,g
2459576.77047,2021-12-28.2671675,bq,1.65,15.600,12.993,0.020,23.060,0.426,g
2459576.77170,2021-12-28.2683903,bq,1.66,15.692,12.982,0.018,23.289,0.391,g
2459576.77295,2021-12-28.2696453,bq,1.65,15.628,12.969,0.020,23.572,0.419,g
2459578.79362,2021-12-30.2904100,bq,1.47,16.046,13.035,0.014,22.179,0.285,g
2459578.79485,2021-12-30.2916405,bq,1.44,16.054,13.031,0.013,22.270,0.285,g
2459578.79611,2021-12-30.2928962,bq,1.45,16.066,13.012,0.013,22.659,0.281,g
2459584.77943,2022-01-05.2765385,bq,1.61,16.067,12.980,0.013,23.331,0.280,g
2459584.78067,2022-01-05.2777841,bq,1.62,16.018,13.010,0.014,22.686,0.293,g
2459584.78190,2022-01-05.2790143,bq,1.61,16.051,13.026,0.013,22.368,0.282,g
2459585.82094,2022-01-06.3181053,bB,2.12,16.486,13.040,0.010,22.069,0.207,g
2459585.82221,2022-01-06.3193682,bB,2.13,16.495,13.021,0.010,22.473,0.200,g
2459585.82348,2022-01-06.3206462,bB,2.13,16.505,13.031,0.010,22.266,0.205,g
2459585.83257,2022-01-06.3297429,bB,2.05,16.533,13.054,0.010,21.805,0.198,g
2459585.83384,2022-01-06.3310056,bB,2.03,16.529,13.033,0.010,22.227,0.199,g
2459585.83511,2022-01-06.3322745,bB,2.05,16.499,13.040,0.010,22.088,0.205,g
2459587.74488,2022-01-08.2421446,bA,2.03,16.368,13.056,0.011,21.747,0.218,g
2459587.74613,2022-01-08.2433969,bA,2.03,16.385,13.084,0.010,21.201,0.212,g
2459587.74739,2022-01-08.2446586,bA,2.03,16.349,12.976,0.011,23.405,0.223,g
2459587.74864,2022-01-08.2459052,bA,2.03,16.372,13.049,0.011,21.897,0.219,g
2459587.74990,2022-01-08.2471662,bA,2.03,16.382,13.073,0.011,21.416,0.213,g
2459587.75115,2022-01-08.2484243,bA,2.03,16.415,13.003,0.009,22.851,0.204,g
2459588.78098,2022-01-09.2783153,bq,1.46,15.908,13.031,0.015,22.269,0.322,g
