MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1126109011088,16.299,0.072,335.99586,25.74039,54274.32689,0
1126109011088,16.264,0.072,335.99583,25.74042,54274.33505,0
1126109011088,15.984,0.068,335.99598,25.74009,54274.34323,0
1126109011088,16.281,0.072,335.99581,25.74041,54274.35139,0
1126109011088,16.237,0.073,335.99575,25.74051,54239.41686,0
1126109011088,16.221,0.072,335.99582,25.74044,54239.42335,0
1126109011088,16.203,0.072,335.99589,25.74051,54239.42982,0
1126109011088,16.261,0.072,335.99575,25.74047,54239.43631,0
1126109011088,16.131,0.070,335.99582,25.74040,54405.14984,0
1126109011088,16.133,0.068,335.99567,25.74048,54405.15526,0
1126109011088,16.174,0.068,335.99567,25.74051,54405.16073,0
1126109011088,16.211,0.068,335.99573,25.74043,54405.16615,0
1126109011088,16.200,0.068,335.99572,25.74053,54391.12140,0
1126109011088,16.198,0.068,335.99579,25.74042,54391.13001,0
1126109011088,16.203,0.068,335.99571,25.74045,54391.13863,0
1126109011088,16.182,0.068,335.99571,25.74046,54391.14724,0
1126109011088,16.217,0.069,335.99577,25.74044,54357.16240,0
1126109011088,16.186,0.069,335.99576,25.74054,54357.16834,0
1126109011088,16.194,0.069,335.99576,25.74045,54357.17425,0
1126109011088,16.190,0.069,335.99572,25.74055,54357.18018,0
1126109011088,16.239,0.072,335.99589,25.74040,54583.45808,0
1126109011088,16.219,0.071,335.99590,25.74040,54583.46464,0
1126109011088,16.223,0.071,335.99579,25.74045,54583.47122,0
1126109011088,16.240,0.071,335.99581,25.74041,54583.47776,0
1126109011088,16.229,0.068,335.99573,25.74047,54806.10253,0
1126109011088,16.258,0.069,335.99570,25.74044,54806.10857,0
1126109011088,16.196,0.068,335.99568,25.74044,54806.11449,0
1126109011088,16.193,0.068,335.99562,25.74057,54806.12047,0
1126109011088,16.173,0.070,335.99581,25.74043,54600.41104,0
1126109011088,16.171,0.070,335.99578,25.74052,54600.41658,0
1126109011088,16.200,0.070,335.99578,25.74046,54600.42212,0
1126109011088,16.139,0.069,335.99583,25.74046,54600.42767,0
1126109011088,16.221,0.068,335.99571,25.74044,54777.17059,0
1126109011088,16.204,0.068,335.99579,25.74044,54777.18115,0
1126109011088,16.212,0.068,335.99568,25.74045,54777.19141,0
1126109011088,16.283,0.069,335.99570,25.74042,54777.20188,0
1126109011088,16.242,0.071,335.99573,25.74046,54746.22166,0
1126109011088,16.236,0.071,335.99575,25.74043,54746.22987,0
1126109011088,16.297,0.072,335.99578,25.74043,54746.23806,0
1126109011088,16.277,0.072,335.99573,25.74046,54746.24622,0
1126109011088,16.154,0.068,335.99574,25.74047,54770.08279,0
1126109011088,16.184,0.068,335.99573,25.74048,54770.09006,0
1126109011088,16.163,0.068,335.99574,25.74046,54770.09740,0
1126109011088,16.151,0.068,335.99575,25.74046,54770.10465,0
1126109011088,16.327,0.069,335.99584,25.74045,54732.12851,0
1126109011088,16.304,0.069,335.99579,25.74043,54732.13466,0
1126109011088,16.269,0.069,335.99575,25.74046,54732.14070,0
1126109011088,16.315,0.069,335.99581,25.74044,54732.14682,0
1126109011088,16.223,0.069,335.99577,25.74045,55061.31008,0
1126109011088,16.226,0.069,335.99577,25.74043,55061.31674,0
1126109011088,16.221,0.069,335.99572,25.74049,55061.32339,0
1126109011088,16.216,0.069,335.99574,25.74048,55061.33005,0
1126109011088,16.168,0.075,335.99567,25.74051,55043.27936,0
1126109011088,16.164,0.075,335.99579,25.74040,55043.28619,0
1126109011088,16.190,0.075,335.99573,25.74048,55043.29305,0
1126109011088,16.205,0.076,335.99574,25.74051,55043.29999,0
1126109011088,16.206,0.073,335.99580,25.74042,54953.45549,0
1126109011088,16.174,0.073,335.99581,25.74046,54953.46105,0
1126109011088,16.209,0.073,335.99583,25.74041,54953.46663,0
1126109011088,16.197,0.073,335.99583,25.74043,54953.47216,0
1126109011088,16.300,0.070,335.99578,25.74043,54982.41414,0
1126109011088,16.277,0.070,335.99578,25.74046,54982.41770,0
1126109011088,16.266,0.070,335.99576,25.74042,54982.42136,0
1126109011088,16.293,0.070,335.99580,25.74042,54982.42494,0
1126109011088,16.311,0.071,335.99573,25.74048,55145.07572,0
1126109011088,16.528,0.084,335.99575,25.74034,55145.08171,0
1126109011088,16.118,0.076,335.99570,25.74048,55145.08715,0
1126109011088,16.295,0.071,335.99576,25.74043,55145.09262,0
1126109011088,16.308,0.070,335.99576,25.74047,55159.09901,0
1126109011088,16.268,0.069,335.99568,25.74048,55159.10810,0
1126109011088,16.257,0.069,335.99573,25.74042,55159.11709,0
1126109011088,16.220,0.069,335.99572,25.74049,55159.12616,0
1126109011088,16.226,0.069,335.99575,25.74047,55120.11178,0
1126109011088,16.211,0.069,335.99573,25.74048,55120.11843,0
1126109011088,16.229,0.069,335.99572,25.74045,55120.12511,0
1126109011088,16.197,0.069,335.99575,25.74044,55120.13178,0
1126109011088,16.204,0.069,335.99579,25.74046,55131.17622,0
1126109011088,16.245,0.069,335.99578,25.74046,55131.18345,0
1126109011088,16.247,0.069,335.99569,25.74046,55131.19065,0
1126109011088,16.280,0.070,335.99571,25.74046,55131.19794,0
1126109011088,16.338,0.083,335.99579,25.74046,55089.18664,0
1126109011088,16.280,0.070,335.99575,25.74043,55089.19492,0
1126109011088,16.367,0.071,335.99580,25.74037,55089.20311,0
1126109011088,16.194,0.069,335.99582,25.74051,55100.13384,0
1126109011088,16.253,0.070,335.99582,25.74041,55100.14117,0
1126109011088,16.233,0.070,335.99577,25.74042,55100.14846,0
1126109011088,16.235,0.069,335.99576,25.74041,55100.15591,0
1126109011088,16.244,0.070,335.99574,25.74044,55536.12247,0
1126109011088,16.233,0.070,335.99570,25.74044,55536.13410,0
1126109011088,16.196,0.070,335.99567,25.74050,55536.13991,0
1126109011088,16.381,0.079,335.99577,25.74039,55381.44536,0
1126109011088,16.380,0.079,335.99569,25.74046,55381.44719,0
1126109011088,16.319,0.078,335.99565,25.74046,55381.44905,0
1126109011088,16.275,0.077,335.99572,25.74050,55381.45088,0
1126109011088,16.311,0.074,335.99589,25.74042,55351.37103,0
1126109011088,16.290,0.074,335.99580,25.74047,55351.37841,0
1126109011088,16.398,0.075,335.99583,25.74042,55351.38522,0
1126109011088,16.203,0.072,335.99569,25.74051,55351.39204,0
1126109011088,16.293,0.070,335.99577,25.74046,55359.43144,0
1126109011088,16.321,0.071,335.99568,25.74049,55359.43892,0
1126109011088,16.266,0.070,335.99571,25.74049,55359.44636,0
1126109011088,16.261,0.070,335.99569,25.74049,55359.45395,0
1126109011088,16.186,0.069,335.99578,25.74046,55336.42256,0
1126109011088,16.182,0.069,335.99580,25.74041,55336.43002,0
1126109011088,16.210,0.069,335.99575,25.74045,55336.43758,0
1126109011088,16.178,0.069,335.99579,25.74046,55336.44515,0
1126109011088,16.171,0.069,335.99576,25.74044,55508.12841,0
1126109011088,16.238,0.069,335.99576,25.74042,55508.14221,0
1126109011088,16.173,0.069,335.99576,25.74045,55508.14904,0
1126109011088,16.341,0.071,335.99573,25.74046,55478.21067,0
1126109011088,16.319,0.070,335.99572,25.74048,55478.22325,0
1126109011088,16.329,0.071,335.99578,25.74044,55478.22958,0
1126109011088,16.191,0.069,335.99574,25.74047,55500.15794,0
1126109011088,16.167,0.068,335.99572,25.74051,55500.17172,0
1126109011088,16.207,0.069,335.99578,25.74048,55500.17857,0
1126109011088,16.201,0.069,335.99573,25.74043,55453.35602,0
1126109011088,16.183,0.069,335.99577,25.74042,55453.37080,0
1126109011088,16.190,0.069,335.99567,25.74043,55453.37825,0
1126109011088,16.154,0.070,335.99572,25.74044,55719.36780,0
1126109011088,16.126,0.069,335.99575,25.74048,55719.37690,0
1126109011088,16.094,0.069,335.99573,25.74046,55719.38616,0
1126109011088,16.158,0.069,335.99578,25.74042,55719.39534,0
1126109011088,16.284,0.070,335.99560,25.74038,55856.25375,0
1126109011088,16.176,0.069,335.99573,25.74042,55856.26544,0
1126109011088,16.185,0.069,335.99567,25.74038,55856.27403,0
1126109011088,16.251,0.069,335.99570,25.74036,55857.21050,0
1126109011088,16.232,0.069,335.99572,25.74036,55857.21844,0
1126109011088,16.216,0.069,335.99567,25.74038,55857.22648,0
